Timestamp,Vol_L,Vol_R,MQ1,MQ2,Polvo_PPM,Latitud,Longitud
2026-07-18T15:30:02.150Z,6.5,5.6,0.0,0.0,0,0.00000,0.00000,26.29,nan,34.45
2026-07-18T15:30:02.151Z,6.9,6.9,0.0,0.0,0,0.00000,0.00000,26.33,nan,34.69
2026-07-18T15:30:02.151Z,1.0,1.0,0.0,0.0,0,0.00000,0.00000,26.36,nan,35.13
2026-07-18T15:30:02.279Z,0.6,0.6,0.0,0.0,0,0.00000,0.00000,26.37,nan,35.51
2026-07-18T15:30:02.441Z,0.4,0.4,0.0,0.0,0,0.00000,0.00000,26.37,nan,35.80
2026-07-18T15:30:02.589Z,0.4,0.3,0.0,0.0,0,0.00000,0.00000,26.39,nan,36.05
2026-07-18T15:30:02.787Z,1.6,1.6,0.0,0.0,0,0.00000,0.00000,26.40,nan,36.35
2026-07-18T15:30:02.907Z,0.8,0.8,0.0,0.0,0,0.00000,0.00000,26.40,nan,36.67
2026-07-18T15:30:03.050Z,0.7,0.7,0.0,0.0,0,0.00000,0.00000,26.40,nan,37.05
2026-07-18T15:30:03.206Z,0.3,0.3,0.0,0.0,0,0.00000,0.00000,26.40,nan,37.35
2026-07-18T15:30:03.373Z,0.4,0.4,0.0,0.0,0,0.00000,0.00000,26.40,nan,37.62
2026-07-18T15:30:03.594Z,1.0,0.7,0.0,0.0,0,0.00000,0.00000,26.41,nan,37.86
2026-07-18T15:30:03.685Z,0.9,1.0,0.0,0.0,0,0.00000,0.00000,26.40,nan,38.05
2026-07-18T15:30:03.826Z,1.0,1.0,0.0,0.0,0,0.00000,0.00000,26.41,nan,38.26
2026-07-18T15:30:03.986Z,0.3,0.3,0.0,0.0,0,0.00000,0.00000,26.41,nan,38.43
2026-07-18T15:30:04.136Z,0.3,0.3,0.0,0.0,0,0.00000,0.00000,26.41,nan,38.57
2026-07-18T15:30:04.394Z,0.4,0.3,0.0,0.0,0,0.00000,0.00000,26.41,nan,38.69
2026-07-18T15:30:04.467Z,0.5,0.5,0.0,0.0,0,0.00000,0.00000,26.43,nan,38.80
2026-07-18T15:30:04.600Z,0.6,0.5,0.0,0.0,0,0.00000,0.00000,26.42,nan,38.88
2026-07-18T15:30:04.769Z,0.3,0.3,0.0,0.0,0,0.00000,0.00000,26.43,nan,39.00
2026-07-18T15:30:04.916Z,0.4,0.4,0.0,0.0,0,0.00000,0.00000,26.42,nan,39.07
2026-07-18T15:30:05.274Z,0.3,0.3,0.0,0.0,0,0.00000,0.00000,26.44,nan,39.08
